Regulated entity RN number,County,Regulated entity name,contaminants,quantity_1000s,report_ids,units
RN104964267,JEFFERSON,TPC GROUP PORT NECHES OPERATIONS,"1,3-butadiene • carbon monoxide • nox • vocs",3.51,266466,lbs
RN100210319,HARRIS,EQUISTAR CHEMICALS LA PORTE COMPLEX,"1,3-butadiene • acetylene • benzene • butane • butene • carbon monoxide • ethane • ethylene (gaseous) • hydrogen • isobutane • methane • nitrogen dioxide • nitrogen oxide • other c5's + • propane • propylene (propene)",3.42,266329,lbs
RN100219310,HARRIS,VALERO PARTNERS HOUSTON,benzene • unspeciated vocs,3.36,266275,lbs
RN100219351,GALVESTON,UNION CARBIDE TEXAS CITY,"ethylene, gaseous",1.09,266454,lbs
RN101619179,BRAZORIA,SWEENY REFINERY,carbon monoxide • hydrogen sulfide • nox (startup/shutdown) • sulfur dioxide • voc (unspeciated),0.92,266328,lbs
RN100716661,HARRIS,PASADENA REFINING SYSTEM,particulate matter,0.72,266264,lbs
RN100211879,HARRIS,SHELL OIL DEER PARK,benzene • toluene • xylene (mixed isomers),0.51,266266 • 266341,lbs
RN107585671,ATASCOSA,MARS PRODUCTION FACILITY,sulfur dioxide,0.5,266274,lbs
RN100227016,HARRIS,CELANESE CLEAR LAKE PLANT,ethylene (gaseous) • ethylene oxide,0.38,266268,lbs
RN100221134,BRAZORIA,FREEPORT TERMINAL,nitrogen oxides (nox) • propane,0.3,266338,lbs
RN108772245,BRAZORIA,BLUE CUBE OPERATIONS FREEPORT,ethylene dichloride • hydrogen chloride • vinyl chloride,0.16,266382,lbs
RN100634922,JEFFERSON,BASF BEAUMONT AGRO PLANT,voc mixture,0.1,266429,lbs
RN101062610,HARRIS,PASADENA PRODUCT TERMINAL,benzene • voc (light hydrocarbons),0.05,266263 • 266276 • 266558,lbs
RN102181526,CALHOUN,UCC SEADRIFT OPERATIONS,ethylene oxide,0.01,266571,lbs
